nr;Hotelname;Adress;Zipcode;Place;Numberofrooms;Reviewtitle;Reviewtext;Reviewrating;Yearwrotereview
 9271;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Geweldig, alles klopt;Alles klopt aan dit hotel! Hygiene in kamer, ontbijt zeer groots. Vriendelijk personeel, ligging to binnenstad en de parkeergarage dichtbij!!!Dickens festijn was iets minder, nog veel te leren. Maar het hotel was geweldig.;5;2018
 9046;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;fantastisch;service was zeer goed en vriendelijke ontvangst en bediening kamer wat donker maar verder uitstekend, locatie ideaal bij het station en dicht bij het centrum, douche in bad is niet handig voor ouderen.;5;2019
 8086;Strandhotel ZandtaanZee;Badweg 117, 9166 NH, Schiermonnikoog Nederland;9166 NH;NA;NA;Relaxing!;Wat een heerlijke plek! Iedereen doet zijn uiterste best om het je tijdens het verblijf zo aangenaam mogelijk te maken. Wij waren er op naar ik denk de warmste dag van het jaar( in ieder geval tot nu toe). Parasols werden aangesleept om iedereen de gewenste schaduw plek te.;4;2013
 4192;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Geweldige eilandervaring;Gastvrijheid is hier de gewoonste zaak van de wereld. Vriendelijkheid bij receptie en restaurant. Ontbijt is overvloedig en steeds goed bijgevuld, ondanks de drukte. Kamer was prima en zeer ruim. We zaten wel dicht bij achteringang waardoor je vaak mensen langs je balkon had,.;4;2015
 9398;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Volwaardig hotel;Kamers mooi ingericht en schoon. Prima bed op lengte en volwaardig hoofdkussen. Airco werkt ook prima. Alleen de douche op het bad is vrij smal voor stevige personen, en het scherm is niet waterdicht. Ook het ontbijt en het vriendelijke personeel krijgen een dikke voldoende. De.;5;2015
 3253;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;WiFi;Laat ik positief beginnen, het hotel,is prachtig, personeel vriendelijk en de kamer is mooi en vooral lekker fris en schoon. Wat we erg vervelend vonden is dat we een half uur hebben moeten wachten tot we in onze kamer konden. Ook WiFi was in  1 woord waardeloos, ben tot 2 keer.;3;2017
12130;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Lytse Hille weekend;We zijn in Drachten in vd Valk hotel geweest ivm Lytse Hille feestavond...We hebben een heerlijke overnachting gehad en het ontbijt en 3 gangen keuze was top !  De kamers goed verzorgd en netjes. S'avonds was de bar speciaal nog open voor na het feest en we konden nog een.;5;2017
 1792;Hotel Restaurant Ie-Sicht;Hegewarren 1, 9216 XR Oudega Nederland;9216 XR;Oudega;  9;Vriendelijk personeel, slechte service, goed eten;Ik heb hier met mijn vriendin en mijn ouders. We hadden lunch hier voor hun trouwdag. Eerste fout maakten bij aankomst en zitten voor 1 seconde, meteen vragen wat we wilden drinken, terwijl we niet de kans om te kijken naar het menu. Fout nummer 2 : bij het bestellen van 4.;3;2017
 6637;Loods Hotel Vlieland;Dorpsstraat 3, 8899 AA, Vlieland Nederland;8899 AA;NA;NA;Beetje gedateerd maar prima plekje.;Combinatie van bruin café met hotel. Totale uitstraling enigszins gedateerd. Ontbijtzaal is wel netjes en goed voorzien. Kamer die wij (incl. hond) hadden was netjes en er lag een hondenkoekje klaar in de etensbak. Ontbijt goed voorzien met diverse soorten brood en broodjes. Ook.;3;2017
 1057;Fletcher Hotel Paleis Stadhouderlijk Hof;Hofplein 29, 8911 HJ Leeuwarden Nederland;8911 HJ;Leeuwarden;NA;Fantastisch verblijf;We werden zeer vriendelijk begroet bij binnenkomst. Ook werd er gelijk gevraagd of we met de auto of het openbaar vervoer waren gekomen. Dit omdat het verboden te parkeren is op het plein voor het hotel. De jongeman vertelde ons waar we mochten parkeren er was nog plek in de.;4;2016
 4224;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Voorjaarsarrangement tijdens Hemelvaart;"Prima kamer; schoon, mooie badkamer, ruim balkon en goede bedden.  We arriveerden om half 1 en konden desondanks meteen in onze kamer. Vriendelijk ontvangst bij de receptie. Goede fietsen bij de fietsenhuur van het hotel en de prijs is echt per 24 uur (waardoor we de fietsen 3.";3;2012
 6181;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;Prima locatie;We hebben in het Fletcher hotel overnacht in het weekend dat we de Vuurtorentrail gingen lopen (op zaterdag en zondag). De kamer is heerlijk groot en de bedden vonden we prima liggen. Het uitzicht zo over het eiland in het donker vanaf de kamer doet je weer herinneren aan de.;3;2018
  817;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;vakantie/stedentrip;luxe kamer op 8e verdieping, prima ontbijt op 11e verdieping met mooi uitzicht.  fietsen te huren bij het hotel, met kaarten mee geleverd. goede , vriendelijke ,hulpvaardige receptie. ongeveer 15 minuten lopen van het centrum. Op s de 11e verdieping is het 1 michelin ster.;5;2015
 2673;Hotel DoniaState;Badweg 2, 8899 BV, Vlieland Nederland;8899 BV;NA;345;Fijne plek;Wat een fijne plek om te verblijven is dit. Tweemaal al geweest op dit plekje in de duinen, net buiten het dorp Oost-Vlieland. Beide keren genoten van een hartelijke service, nette en schone kamers, ruim assortiment in de lichte ontbijtzaal en fijne Rituals badproducten.;4;2013
12602;Het Weeshuis;Kerkstraat 53, 8701 HR Bolsward Nederland;8701 HR;Bolsward; 13;B&B in Bolsward;Verbleef hier op een recente fietstocht van Nederland. Dit is een hoge klasse vestiging en overtrof onze verwachtingen. Ze voorzagen veilige overdekte opslag voor onze cycli. De kamer was modern en brandschoon met een groot TV ( inclusief BBC).  Schone comfortabele bedden en een.;5;2014
 1434;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Business bezoek;"""Als ik voor klanten onderweg ben in de buurt van Sneek, slaap ik altijd bij Van Der Valk Hotel of bij concurrent aan de andere kant van de rotonde. (afhankelijk wie er plaats heeft) Jammer is dat ze er geen """"business deal"""" hebben, wat andere Van Der Valk hotels vaak weer wel.""";4;2017
 3187;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Genoten van een top kerstarrangement !;We hebben genoten van een paar heerlijke verwendagen in een sfeervolle ambiance met 2 diners-dansant met een super band en activiteiten zoals een interessant uitje met een boottocht. Dit jaar was er ook een overkapte ijsbaan in de tuin!  Het team van Lauswolt is super.;5;2015
 5756;Hotel & Restaurant Lunia;Molenhoek 2, 8421 PG Oldeberkoop Nederland;8421 PG;Oldeberkoop; 18;Heerlijk vertoeven;Wat een heerlijk weekend gehad. Fijn en hartelijk ontvangst. De sfeer in hotel doet denken aan een huiskamer met een fijne sfeer. De kamer is erg naar tevredenheid. Schoon en netjes. Het eten was top. Heerlijk gegeten met een zeer vriendelijke bediening. Is een aanrader om hier.;5;2018
10379;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;Klasse!;Terschelling is een aanrader.. Zeker in combinatie met deze fantastische residentie! De appartementen straalde, net als het personeel! Het personeel heeft ons het gevoel gegeven dat we zeer welkom waren. En waren erg gastvrij en warm. Echt een aanwinst voor het eiland en zeker.;5;2015
 4119;WestCord Hotel Noordsee;Strandweg 42, 9163 GN, Ameland Nederland;9163 GN;NA;NA;Fijne vakantie gehad!;We hadden een appartement geboekt, voor ons een nieuwe ervaring en is heel goed bevallen. Lekker om je eigen keukentje te hebben met verder de faciliteiten van een hotel. Prettig hotel, rustig. Fijne inrichting van het appartement. Goede bedden, fijn groot balkon. De schoonmaak.;4;2017
 1517;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;goede week gehad;zeer prettig verblijf gehad, kamer was ruim tot zeer ruim, eten was bij het ontbeit als het diner goed en de bediening was erg prettig. voor rolstoelgebruik bijzonder friendelijk, ruime parkeerplaats.    reden voor herhaling;4;2015
10794;Hotel Anna Casparii;Noorderhaven 69, 8861 AL Harlingen Nederland;8861 AL;Harlingen; 16;redelijk;inrichting is echt achterhaald. kamer was schoon, maar dan houdt het ook helemaal op. Ontbijt was ook redelijk, je kunt pas laat inchecken. er is tussentijds ook niemand in het hotel. dat is wel jammer. personeel is erg vriendelijke en de bar naast het hotel is een ouderwetse.;3;2014
 6416;Campanile Leeuwarden;Wergeasterdyk 1, 9084 AS Goutum Nederland;9084 AS;Goutum; 49;"""Het voelt als """"thuis""""komen""";In verband met vakantiebeurzen verblijven wij in meerdere hotels in Nederland.Op basis daarvan kunnen we aangeven dat de keuze voor een hotel in Leeuwarden duidelijk is! Elk jaar worden weer hartelijk ontvangen wat voelt als thuis komen. Het personeel is belangstellend en zeer.;5;2016
 9027;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Goed hotel, goede service;"Pluspunten: Vriendelijk personeel; relatief grote kamer; mooie badkamer; tegenover het treinstation en andere openbaar vervoer. dicht bij het stadscentrum.  Minpunten: Badkamer had schoner ( schimmel en sommige haren in de douche).";4;2013
 1416;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Uit eten voor Sarah;Hapje eten voor de 50 verjaardag, met 11 personen. Prima verzorgd keurig tegelijk uitgeserveerd. Prima prijs kwaliteit verhouding. We zaten in het bar gedeelte. Dit vonden wij gezelliger overkomen. Bediening prima.;4;2018
 7456;Beach Resort Makkum;Langezand 2, 8754 HR Makkum Nederland;8754 HR;Makkum;200;Mooi resort;Mooi resort, mooie huisjes, goede voorzieningen (zwembad, speeltuin, strand aan het IJsselmeer), genoeg te doen en te zien in de buurt. Makkum is een leuk oud stadje en andere Friese steden zijn ook niet ver weg.;4;2015
10795;Hotel Anna Casparii;Noorderhaven 69, 8861 AL Harlingen Nederland;8861 AL;Harlingen; 16;Vergane glorie;Ik heb een paar nachten in het hotel geslapen. Ik kan me voorstellen dat het vroeger geweldig was, maar het hotel is nu hard aan vernieuwing toe. Ik werd elke ochtend wakker gemaakt door het geluid van water door de pijpen als een van de buren een douche nam. Onze kamer was.;2;2012
 3398;Post-Plaza Hotel & Grand Café;Tweebaksmarkt 27, 8911 KW Leeuwarden Nederland;8911 KW;Leeuwarden; 82;Nieuwe aanbouw: grootse sfeer, innovatief, maa achterbljvende keuken;Prachtige nieuwe aanbouw Brasserie, lounge gedeelte, restaurant, open keuken. Grootstedelijk ambiance en interieur. Grote MAAR: zeer matige keuken, alle eten is niet op smaak. Cog au vin, kabeljauw met een beurre blanc, overbakken bijna verbrande frietjes, flauwe vlakke.;2;2015
 2997;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Culinair verwenweekend;Top ovtvangst, erg gastvrij. Mooi hotel met super facciliteiten zoals, golf, welness, spa. Ontbijt, lunch en diner met mooie verse streekpruducten. Iedere medewerker doet erg zijn best het je naar de zin te maken! Gastvrijheid zoals het hoort.;5;2014
10475;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;kamers en service goed maar eten zeer zeer slecht;ligging rustig, kamers perfect, waardeloos dat het zwembad beperkt open is en het eten was echt verschrikkelijk. Ik denk dat het management niet kundig genoeg is. De dames achter de receptie waren niet ervaren.Al met al vallen mij de Westcordhotels erg tegen(vorig jaar op.;3;2012
11173;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Weekendje weg;Hotel is prima bevallen. Mooie uitvalsbasis om Leeuwarden en Groningen te bezoeken. Prima prijs/kwaliteit verhouding. Prima eten. Kamers zijn ruim en schoon. Personeel is heel vriendelijk en behulpzaam.;4;2017
 8420;Camping Tjeukemeer;Meerweg 34, 8515 CB Oldeouwer Nederland;8515 CB;Oldeouwer;NA;Rustplaats tijdens een fietstocht;Op een zomerse biketrip een leuke plek om een U+200BU+200Bkopje koffie of ijs te drinken. Als je graag in het water wilt zwemmen of spelen, is het goed zwemwater en strand. Deze campingplaats is speciaal voor windsurfers en vissers.;3;2018
 9262;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Sfeervol en winderig treinweekend in Leeuwarden;Prima gelegen als je met de trein reist .Gereserveerd via voordeeluitjes.nl .Voor de eerste keer .Voor herhaling vatbaar.Mooie musea en een kundige en grappige free-tour  door Leeuwarden .Ontbijt was uitgebreid en lekker ,evenals de lunch en het diner.Onze kamer had zelfs een.;5;2019
 3160;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Een heerlijke minivakantie. In 1 dag!;We werden op persoonlijke wijze ontvangen. De service was goed, het diner was subliem!  Ontbijt heel goed. Beetsterzwaag is een leuk dorp in een prachtige (bosrijke) omgeving. Eén nachtje verblijf: maar het voelde als een heerlijke (mini)vakantie!;5;2016
 1984;Hotel Bornholm Terschelling;Hoofdweg 6, 8881 HA West-Terschelling, Terschelling Nederland;8881 HA;West-Terschelling, Terschelling; 64;Mooie grote kamer;Mooie grote kamer met aparte slaapkamer (Superior). Alles ruim en netjes. Verwarming ging defect maar dat werd keurig netjes oplost en we kregen een nieuwe kamer. Wifi op de eerste kamer niet goed qua sterkte de tweede kamer wel. Heerlijk ontbijt, vriendelijke bediening.;5;2017
10445;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;Prima hotel met zeer ruime appartementen, nette verzorging;De kamers zijn ruim en schoon.  Voorzien van voldoende verlichting en stoelen, kwalliteitsmeubelen, en het keukentje is ook volledig ingericht. De bedden zijn heerlijk om te slapen, de douche en het bad zijn netjes.  Wel zouden de kitranden een keer mogen worden vervangen, maar.;4;2019
 4403;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;Fijn verblijf!;Fijn hotel, heerlijk gelegen aan het strand. Het personeel is er vriendelijk. Ruime, lichte kamer met lekkere bedden. De badkamer is enigzins gedateerd en zou een opknapbeurt kunnen gebruiken. Wij hebben geen hotelontbijt gebruikt, maar wel bij de Brasserie gedineerd. Dit was.;4;2018
 4861;Fletcher Hotel-Restaurant Heidehof;Golflaan 1, 8445 SR Heerenveen Nederland;8445 SR;Heerenveen; 42;Bepaald geen 4-sterren;Vriendelijk personeel! Een ruime kamer, echter geen mini-bar, een oude televisie, een klein raampje en een elektrisch kacheltje. Erg gehorig. Badkamer/toilet klein met douche in bad.  Vanwege andere werkzaamheden (?) was er met regelmaat niemand bij de receptie of achter de bar..;3;2016
11891;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Vriendelijk, schoon en  heerlijk eten;We werden zeer vriendelijk ontvangen en konden nog eten, ondanks dat de keuken bijna dicht ging. Ook waren er genoeg opties voor mij om glutenvrij te eten. De kamers waren keurig en schoon. Alleen waren de kussens wat hard, maar dat zal denk ik wel persoonlijk zijn.;5;2017
 7055;Bed and Breakfast - Hotel - Oosterpark Harlingen NL;Jacob Catsstraat 16, 8862 BS Harlingen Nederland;8862 BS;Harlingen;  5;Ton;Het was weer geweldig bij Bed & Breakfast Oosterpark. We kwamen hier nu voor de tweede keer, alles was weer perfect geregeld. Het enthousiasme wat eigenaar Jouke uitstraald, de prachtige kamers. Het ontbijt was weer een feest. Top lokatie!;5;2016
 6770;Haje Hotel Restaurant Joure;Klokmakkerij 1, 8501 ZS Joure Nederland;8501 ZS;Joure; 47;Goed startpunt bezoek Friesland;Goed aan te rijden hotel, voor ons het startpunt op de Elfstedentocht per fiets. Zowel voor een overnachting ok, als voor een diner. Bediening vriendelijk en attent. Kamer biedt alles wat je nodig hebt een goed bed en prima sanitair. Ontbijt prima, een van de betere onder de.;4;2018
12929;Badhotel Bruin;Dorpsstraat 88, 8899 AL, Vlieland Nederland;8899 AL;NA; 34;Weekendje Bruin, heerlijk genoten;Heerlijk genoten van een weekendje Bruin, gezellig hotel, goede ontvangst, alles ziet er verzorgt uit. Prima appartement waar de hond ook mee kon, kussen en bakjes aanwezig: gemak! 's Avonds heerlijk gegeten, super service en prima uitleg en advies, erg smakelijk en 's ochtends.;4;2018
  343;Fletcher Hotel-Restaurant De Zon;Stationsstraat 1, 8431 ET Oosterwolde Nederland;8431 ET;Oosterwolde; 31;Weekendje;Goed hotel, doucheruimte erg klein en verouderd. Alles was keurig schoon. Het diner was erg goed en ook het ontbijt was prima. Erg vriendelijk en behulpzaam personeel. Genoten van de natuurparken in de omgeving en het gevangenismuseum van Veenhuizen erg interessant.;3;2016
 9403;Oranje Hotel Leeuwarden;Stationsweg 4, 8911 AG Leeuwarden Nederland;8911 AG;Leeuwarden; 78;Super hotel;Centraal schoon en grote nette kamers. Een aanrader voor iedereen.  Wij hebben erg genoten. Heerlijk rustig en goede service . Zeer vriendelijk personeel. Je loopt echt zo de stad in. Leeuwarden is ook echt een prachtige stad waar je heerlijk kunt varen.;5;2015
 6172;Fletcher Resort-Hotel Amelander Kaap;Oosterhiemweg 1, 9161 CZ Hollum, Ameland Nederland;9161 CZ;Hollum, Ameland; 40;"""Weekend """"Rondje Ameland""""""";"""Hotelkamer voor 3 personen geboekt. Leuk appartement gekregen (leuke verrassing).  Appartement is netjes en schoon. Ontbijt is prima. Eerste ochtend een leuk ontbijt pakket ontvangen ivm zeer vroeg vertrek voor """"Rondje Ameland"""".""";3;2019
 9677;Van Heeckeren Hotel;Torenstraat 22, 9163 HE Nes, Ameland Nederland;9163 HE;Nes, Ameland; 34;Leuk hotel;Drie nachten In het hotel overnacht samen met mijn zoontje van 6 jaar. Het hotel bevind zich op een goede locatie. Fietsverhuur om de hoek waar je rond de 8 euro per dag betaald voor het huren van een fiets. In Nes zijn een aantal restaurants te vinden, helaas voor een.;4;2017
11227;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;Zeer aangename jaarwisselingsviering;Een voortreffelijk, rustig gelegen, hotel met uitstekende service, prima kamers, en met een meer dan voortreffelijke gastronomie. Ondanks dat wij een speciaal arrangement hadden, bod de arrangementen kaart volop keuze, en werd er absoluut NIET bezuinigd op kwaliteit,.;5;2018
 9679;Van Heeckeren Hotel;Torenstraat 22, 9163 HE Nes, Ameland Nederland;9163 HE;Nes, Ameland; 34;Zeer goed;Wat een leuk hotel en vriendelijke mensen bij de receptie. Het grappige is dat wanneer de receptie er niet is, deze bereikbaar is via een Whatsapp nummer: hip hoor!   Verder is het ontbijt goed met veel fruit en verse producten. Koffie en thee zijn de gehele dag gratis!  Leuke.;4;2017
 7239;Haje Hotel Heerenveen;Schans 65, 8441 AC Heerenveen Nederland;8441 AC;Heerenveen; 55;Snel weer weg;Tapijt zat vol vlekken net zoals de muren. Badkamer en toilet waren oud en hoognodig aan vervanging toe. Overal lag stof terwijl bij aankomst ze nog bezig waren met onze kamer schoonmaken. Wij hebben de sleutel weer ingeleverd en ergens anders heerlijk overnacht.;1;2017
12218;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;prima verblijf;top service en lokatie was prima was een goed verblijf dito ontbijt was prima maar algemeen altijd super bij vande valk ook de kamers en service wat ook zalig was buiten eten omdat 1 ding binnen veel te warm was om te dineren dus kwam buiten priam uit;5;2019
 5415;Hotel Ameland;Strandweg 48, 9163 GN Nes, Ameland Nederland;9163 GN;Nes, Ameland; 37;Prima hotel, niet bijzonder.;Ontvangst wat ongeinteresseerd maar verder heel vriendelijk personeel. Basic hotel, standaard hotelkamer, prima bedden. Vloerbedekking met veel vlekken, badkamer prima maar de douchecabine kan schoner van de binnenkant. Kamer goed warm te houden en af te koelen dmv een.;4;2016
  706;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Mooie kamers en goed ontbijt;Heerlijk geslapen in een groot tweepersoonsbed in een deluxe kamer. De douche miste wel wat waterkracht, waarschijnlijk door een waterbesparende douchekop, dat is zonde. Maar verder echt geen op- of aanmerkingen. Het ontbijt is echt heel erg goed, al veel NLse hotels gehad, maar.;5;2018
10104;WestCord Hotel Schylge;Burg. van Heusdenweg 37, 8881 ED West-Terschelling, Terschelling Nederland;8881 ED;West-Terschelling, Terschelling;NA;Heel fijn hotel;Goed hotel, prima ontbijt en kamers aan zeezijde met prachtig uitzicht, wellicht het mooiste uitzicht van Nederland. Fijn is ook de 48 uurs annulering service zonder kosten, dus slecht weer op komst, dan ga je niet.  Hotel is een aanrader en natuurlijk het eiland Terschelling.;5;2014
 4588;Westcord Strandhotel Seeduyn;Badweg 3, 8899 BV, Vlieland Nederland;8899 BV;NA;NA;OK hotel;Wij hebben Seeduyn uitgekozen vanwege de ligging van het hotel en hebben er 4 nachten geslapen. Het uitzicht/ligging is fantastisch. Wij hadden een kamer met zeezicht en het is heerlijk om s'morgens de gordijnen open te doen en vanuit bed over de zee uit te kijken. Dit heb je.;3;2016
11924;Van der Valk Hotel Drachten;Lavendelheide 4, 9202 PD Drachten Nederland;9202 PD;Drachten; 90;Niet vd Valk waardig;Afgelopen weekend op erg korte termijn een kamer geboekt inclusief ontbijt. Als je op de website kijkt lijkt het dat de kamers in een nieuw gedeelte zitten. Wij kregen een kamer met sleutel (pasjes werkte niet) in een oud gedeelte ergens achterin. Dit zijn gerenoveerde kamers.;2;2017
13484;Hotel Nobel;Gerrit Kosterweg 16, 9162 EN Ballum, Ameland Nederland;9162 EN;Ballum, Ameland; 19;In alle opzichten een aanrader!;Sfeervolle ambiance, zowel binnen (met open haard) als buiten (terras), bar, zithoek, leeshoek en restaurant. Overal was het gezellig om te zitten. Vriendelijke bediening, makkelijk in de omgang, prima kamer met openslaande deuren naar klein tuintje. 's Avonds sfeervol verlicht.;5;2018
 2684;Hotel-Restaurant De Stadsherberg;Oud Kaatsveld 8, 8801 AB Franeker Nederland;8801 AB;Franeker; 10;Precies wat je ervan verwacht;We bleven 2 nachten in dit hotel. De kamer was goed en schoon. Het bubbelbad was lekker en de voorzieningen waren voldoende! De tv was wel van slechte beeldkwaliteit. Het ontbijt was lekker en alle producten waren vers. Als ik ooit nog eens in Franeker zou verblijven ging ik er.;4;2016
 1287;Van der Valk Hotel Sneek;Burgemeester Rasterhofflaan 1, 8606 KZ Sneek Nederland;8606 KZ;Sneek;112;Prima;prima hotel, ontbreekt aan niets. Gastvriendelijke mensen, prima verzorgde kamer en badkamer. Restaurant en ontbijt keurig verzorgd. Verder een leuke en rustige omgeving. we komen zeker een keer terug.;4;2019
  185;Hotel Café Restaurant de Posthoorn;Diepswal 21, 9101 LA Dokkum Nederland;9101 LA;Dokkum; 35;Uiterst vriendelijk;Net voorbij het keerpunt van de Elfstedentocht bevindt dit hotel, cafe en restaurant zich. Ze hebben een mooi terras aan het water. We genoten er van de koffie en voroal de gezellige en vriendelijke wijze waarop we bediend werden.;4;2016
 2768;Landgoed Lauswolt;Van Harinxmaweg 10, 9244 CJ Beetsterzwaag Nederland;9244 CJ;Beetsterzwaag;NA;Nieuwe bistro is laagdrempelig maar nog niet helemaal top;We zijn gaan eten in de nieuwe Bistro wat onderdeel is van Bilderberg Lauswolt. Je loopt door de keuken naar de Bistro waar ruimte is voor 34 couverts.Toen wij daar gingen eten was de Bistro nog geen week open. Het is even wennen voor het personeel. M.n voor de keuken is dit wel.;4;2016
 5220;Stenden Hotel;Rengerslaan 8, 8917 DD Leeuwarden Nederland;8917 DD;Leeuwarden; 28;Prima hotel;Prachtige kamers, zeer vriendelijk personeel. Alle voorzieningen op de kamer aanwezig: waterkoker, koffiecups, water, TV. Een aanrader om de stad te bezoeken, terwijl het hotel zelf goed bereikbaar is van buitenaf.;5;2016
  865;WestCord WTC Hotel Leeuwarden;Heliconweg 52, 8914 AT Leeuwarden Nederland;8914 AT;Leeuwarden;143;Mooi uitzicht;Lekker geslapen in fijne kamer. Ze hebben er een uitgebreid ontbijt en ik vond de prijs prima. Het personeel is vriendelijk en behulpzaam, alleen Wifi werkte waardeloos op mijn kamer. Daar zou men iets aan doen, maar blijkbaar is dat niet gelukt.;4;2017
 6420;Campanile Leeuwarden;Wergeasterdyk 1, 9084 AS Goutum Nederland;9084 AS;Goutum; 49;Eenvoudig en goedkoop op zijn best;Dit is een eenvoudig en goedkoop hotel. De kamers zijn allemaal erg schoon en het heeft een goede douche. Er is echter slechts één stopcontact en dat is in de badkamer. Het eten is ok een beetje te duur, er is een macdonalds naast de deur, maar ik heb er niet naartoe. Ik was op.;3;2016
 5878;Hotel Graaf Bernstorff;Reeweg 1, 9166 PW, Schiermonnikoog Nederland;9166 PW;NA; 18;EEN ECHTE AANRADER>;Wat een verrassing was hotel Bernstorff. Van familie een groupon bon gekregen ivm 40 jr huwelijk. De verwachtingen waren niet zo hoog  ivm publikaties op internet. MAAAAR  wat hadden we: een geweldige hoekkamer met een mooie badkamer met ligbad. Alles netjes schoon. Kortom zeker.;5;2013
10399;WestCord ApartHotel Boschrijck;Sportlaan 5, 8881 EP, Terschelling Nederland;8881 EP;NA;NA;Enkele teleurstellingen;Gunstig gelegen in rustige, groene buitenwijk van het zeer toeristische West Terschelling. Loopafstand van dorp, maar er rijdt ook een bus naar de haven. Hotel ruim opgezet. Appartementen ruim, slaapkamers echter erg klein en ongunstig gelegen aan galerij. Keuken sober en men.;3;2011
 2295;Hotel Oostereiland;NA;NA;NA; 25;Prachtige locatie, slechte kamer comfort;"Het Oostereiland vroeger een gevangenis werd omgebouwd tot een hotel. Dit zorgt voor een eigenzinnige verblijven, maar niet comfortabel maken. De locatie van het hotel is prachtig met uitzicht op het meer; en Hoorn zelf is een prachtige en charmante stad, vol cafés en.";3;2016
10615;Golden Tulip Tjaarda Oranjewoud;Koningin Julianaweg 98, 8453 WH Oranjewoud Nederland;8453 WH;Oranjewoud;NA;Heerlijk ontspannen;Immer vriendelijk personeel. Gratis parkeren. Fijn zwembad. Steeds weer een genot om daar te (mogen) verblijven. Service staat daar hoog in het vaandel. Prachtige omgeving om er te wandelen en fietsen.;5;2019
12964;Badhotel Bruin;Dorpsstraat 88, 8899 AL, Vlieland Nederland;8899 AL;NA; 34;Moderne uitstraling maar toch knus met vriendelijke medewerkers;Vriendelijke ontvangst. Men is zeer behulpzaam. Bedienende medewerkers herkennen je ook: je bent geen nummer. Ontbijtzaal te onpersoonlijk zonder bediening. Diner uitstekend alhoewel de kwaliteit wisselend is. Maar desondanks aan te bevelen. Fijne ruime kamer aan de voorkant..;5;2015
11074;Van der Valk Hotel Hardegarijp;Rijksstraatweg 36, 9254 Hardegarijp Nederland;NA;NA; 31;goed;goed maar prijs kamer zou iets naar beneden kunnen. voor de rest geen klachten , medewerkers heel vriendelijk en goede service. ontbijt was uitgebreid en heel smakelijk. dit doe ik zeker nog een keer over.;4;2017
